id,has_title,has_description,has_tags,cosine_similarity,accredited,readability,sentence_count,word_count,word_unique,transition_words,summary_words,active_verb,duration
yfEMad4zMxM,1,1,1,0.0,0,108.42098591549296,1,213,160,2,0,27,126.0
PC4Yd3feSBc,1,1,1,0.0,1,12.727603092783504,16,388,241,7,0,56,112.0
nVnusCfLmSs,1,1,1,0.0,0,1.5874999999999986,2,12,12,1,0,1,168.0
jTfl3l7e6_c,1,1,1,0.08638684255813601,0,23.803503030303027,6,275,176,8,0,44,128.0
i6lxO6W2-m8,1,1,1,0.07273929674533079,0,12.548957932948966,21,446,232,11,0,55,259.0
IMON9zmViu4,1,1,1,0.0873704056661038,0,8.946487154150201,16,253,153,8,0,32,288.0
sWo7Q0oEL08,1,1,1,0.09805806756909202,0,12.956428571428567,2,42,38,4,0,5,61.0
NEftg2gU1ds,1,1,1,0.0,0,11.067307692307693,5,78,59,2,0,13,131.0
_tsggTz2PaY,1,1,1,0.0,0,0.0,0,0,0,0,0,0,355.0
YtkCYhq3Rtc,1,1,1,0.0,0,22.492514792899406,4,169,127,3,0,11,355.0
i3A7PLhrDck,1,1,1,0.0,0,70.8675,1,132,89,3,0,9,286.0
ZuUfGeoN_cw,1,1,1,0.0,0,21.260454545454543,2,66,54,2,0,4,103.0
lepetKsEfx4,1,1,0,0.0936585811581694,0,12.90842767295598,3,53,49,1,0,6,71.0
OiTQq1rhnmQ,1,1,1,0.0,1,4.98,2,24,22,2,0,5,61.0
v6VtYh0lStQ,1,1,1,0.0,0,37.87049180327869,1,61,44,2,0,2,220.0
OjvWMTzIArg,1,1,1,0.0,0,7.213571428571427,3,42,41,2,0,4,125.0
7A4EXlqkg_M,1,1,1,0.0,0,6.776666666666667,2,27,22,3,0,5,242.0
kZY-7Pdw7JE,1,1,1,0.0,0,11.148409660514922,21,418,250,7,0,40,152.0
gmdTGR6v9iY,1,1,1,0.05832118435198043,0,18.6925184501845,8,271,183,5,0,39,183.0
VjxJljw-2_4,1,1,1,0.0,0,0.0,0,0,0,0,0,0,82.0
2s1RgmSHxR4,1,1,1,0.0,0,8.59682926829268,5,82,70,4,0,17,126.0
NfVb-rwUDoM,1,1,1,0.0,0,26.736129032258063,1,31,29,1,0,3,200.0
LideJlY9cAk,1,1,1,0.0,0,16.78241379310345,5,145,100,3,0,13,340.0
WRiL234-OaY,1,1,0,0.0,0,11.259545454545453,2,22,22,3,0,2,112.0
lu8_eMVDxco,1,1,1,0.11322770341445956,0,6.898666666666667,3,45,40,2,0,6,103.0
djihswQ7p_8,1,1,1,0.12909944487358055,0,1.1338888888888903,4,27,25,0,0,6,162.0
lLS5Wss61cQ,1,1,1,0.09901475429766744,1,12.44631578947368,3,57,45,1,0,5,202.0
1wprI2EDxmo,1,1,1,0.0,0,7.840666666666664,3,45,37,3,0,8,80.0
b6r6oHI8G_Q,1,1,1,0.0,0,60.393607843137254,3,340,248,4,0,25,91.0
c6Rao9TWGTU,1,1,1,0.0778498944161523,0,26.582045454545458,2,88,77,4,0,8,192.0
v4C7gxmPxMY,1,1,0,0.07053456158585983,0,12.081142857142858,6,105,82,4,0,8,126.0
LgZ3q7JykXc,1,1,1,0.09245003270420485,1,12.933854166666663,3,64,58,2,0,10,104.0
OteDOYM197Y,1,1,1,0.049326362366699,0,17.400632530120482,10,332,174,8,0,39,123.0
UMc4CdlSU6Y,1,1,1,0.04778184825674966,0,16.721967479674795,12,410,196,11,0,69,215.0
fjmeLWwAkkQ,1,1,1,0.0,0,7.504199999999997,5,100,73,4,0,15,200.0
lQJQe_n3JbQ,1,1,0,0.0,0,14.885524360033031,7,173,119,7,0,23,111.0
QO6Us2UXtOA,1,1,1,0.06154574548966636,0,11.341000000000001,8,140,106,6,0,17,322.0
RyH_jMfNVgk,1,1,1,0.0,0,9.206907630522089,6,83,69,5,0,11,184.0
ydJoPkmDEos,1,1,1,0.0,0,20.224292534722217,9,256,152,4,0,31,159.0
j5Sl8LyI7k8,1,1,1,0.0,0,14.86012626262626,11,216,192,3,0,16,312.0
6DsdxG9xOOk,1,1,1,0.06726727939963124,1,6.857115617433415,35,472,271,8,0,86,150.0
r5X6wzGcI2k,1,1,1,0.0778498944161523,0,14.997956043956044,13,315,193,3,0,53,228.0
0v6Ex5Xe_JE,1,1,1,0.0,0,27.159276315789477,5,304,147,6,0,67,245.0
2zklmGOeDno,1,1,1,0.0,0,7.917000000000002,2,10,10,0,0,0,223.0
4e6qJJ6FedE,1,1,0,0.0,0,14.221764705882357,1,17,13,0,0,1,172.0
4kFQnv5Y_mw,1,1,1,0.0,0,18.273157894736848,2,19,15,1,0,1,172.0
SC1-Bkr94Eo,1,1,0,0.0,0,48.104268292682924,8,574,340,8,0,42,206.0
Rh9dRDcr-Cw,1,1,1,0.0,0,28.546923076923072,1,13,11,1,0,1,218.0
Sym8jyvGYXg,1,1,1,0.0,0,22.775263157894734,1,19,17,0,0,3,195.0
13LMHNTzOPg,1,1,1,0.0,0,12.780241448692152,25,497,252,13,0,83,274.0
0Ud8QJ35HfY,1,1,0,0.0,0,3.8948660714285737,7,64,51,1,0,11,302.0
kTwBBP_xIFQ,1,1,1,0.0,0,0.0,0,0,0,0,0,0,104.0
05jOR9Ijg90,1,1,1,0.16012815380508713,0,20.61,1,15,13,0,0,3,184.0
3nKgnfIGi5Y,1,1,1,0.0,0,14.848695652173916,1,23,22,2,0,5,307.0
kx30a-fxF54,1,1,1,0.034836650714580884,1,20.954603000129318,19,814,267,18,1,137,312.0
mudsX6ODwyw,1,1,1,0.06804138174397717,0,24.038771929824563,3,133,95,6,0,18,206.0
nVL1QkOP5Pk,1,1,1,0.0,0,82.86871165644172,1,163,116,2,0,16,206.0
CUO4wa5EbS4,1,1,0,0.0,0,2.942499999999999,1,4,4,0,0,0,146.0
XOTbjDGZ7wg,1,1,1,0.0,0,43.72481481481481,1,81,52,4,0,3,285.0
K4MzhxyGby8,1,1,1,0.0,0,10.04550892857143,7,160,86,7,0,21,93.0
4KAUXtOzqfc,1,0,0,0.0,0,0.0,0,0,0,0,0,0,127.0
hzAY5md3OuU,1,1,1,0.0,0,18.95290909090909,2,55,36,2,0,2,333.0
VrJiJ0-LkoM,1,1,1,0.0,0,16.119539748953976,10,239,157,5,0,28,258.0
SBw8re2bwRs,1,1,1,0.0,0,25.223130841121495,4,107,73,3,0,10,108.0
YrZXK8HNjoY,1,1,1,0.0,0,59.03796724470134,3,346,144,3,0,50,117.0
ihiaqxE2oLw,1,1,1,0.0,0,11.590666666666664,2,45,38,1,0,8,241.0
2ABv-tPrj20,1,1,1,0.0,0,81.30435629784273,3,479,282,3,0,28,296.0
-HcC60wdyBU,1,1,1,0.0,0,18.656875,1,16,13,0,0,2,343.0
wqP0z35021o,1,1,1,0.0,0,21.24940594059406,10,303,186,5,0,41,164.0
UsGv08qo0Q4,1,1,1,0.0,1,21.263738738738738,3,74,61,3,0,11,68.0
qFdLDE_Hl1k,1,1,1,0.0,0,3.558461538461536,2,13,13,1,0,1,170.0
6buIk5Qggt0,1,1,0,0.0,0,8.678,4,60,49,3,0,5,120.0
TivrYooOUpE,1,1,0,0.1203858530857692,1,19.28333333333333,1,27,26,1,0,2,300.0
LOa-uXkn4Ds,1,1,1,0.1203858530857692,0,40.2055,1,60,27,3,0,14,119.0
9mbAxjkdtgY,1,1,1,0.0,0,11.8603125,4,32,27,3,0,2,248.0
DWn1ON-Eck8,1,1,0,0.0,1,13.944705882352942,1,17,17,1,0,3,86.0
PWYnWJ93ErE,1,1,1,0.0,0,20.171052631578945,4,114,83,4,0,6,122.0
7fKf2GcNJCE,1,1,1,0.0,0,11.183685204961797,37,658,341,10,0,79,229.0
TdK0jRFpWPQ,1,1,1,0.08703882797784893,1,13.805975609756096,4,82,63,3,0,9,144.0
D6WmNTQTAfc,1,1,1,0.06608186004550898,0,9.165861678004532,36,490,272,12,0,50,119.0
sJxLymQn0s0,1,1,1,0.06622661785325219,0,12.260407608695651,23,480,281,7,0,63,269.0
KhnEUbbMWUM,1,1,1,0.0,0,31.307437810945274,3,134,88,3,0,8,287.0
76gAV9fVXrg,1,1,1,0.0,0,60.88182692307692,5,624,307,9,0,123,252.0
Wcyi414-BP4,1,1,1,0.0,0,23.600084566596202,11,473,265,7,0,68,206.0
027KR8VIauY,1,1,1,0.13703774196550633,0,21.461041666666667,4,144,84,4,0,11,144.0
43YTfc_QNSk,1,1,1,0.0,0,16.317777777777778,1,27,26,3,0,6,258.0
7H7id3to1cg,1,1,1,0.041239304942116126,0,10.981383116883116,22,420,251,7,0,40,184.0
Aj0FR7twq5E,1,1,1,0.11547005383792514,0,13.802307692307693,2,39,35,4,0,7,98.0
jl0rZkgQ3PE,1,1,1,0.0,0,3.4800000000000004,3,27,25,3,0,7,102.0
Tr9lwb7ZgY4,1,1,0,0.0,0,22.46,1,3,3,0,0,0,245.0
tDmPCcNWVL8,1,1,1,0.09759000729485333,0,27.048513513513512,2,74,56,3,0,8,287.0
Pib0qMEwoyw,1,1,1,0.14002800840280097,0,7.421034482758621,2,29,26,3,0,3,225.0
XyMuRUJ4I4c,1,0,0,0.0,0,0.0,0,0,0,0,0,0,174.0
BN9yqF6Um98,1,1,1,0.034020690871988585,0,27.97946048632219,8,329,247,3,0,23,298.0
NJY_bgv5j8c,1,1,1,0.03333333333333333,0,15.98648021462106,21,710,292,17,0,107,237.0
vzHXuGtUsKQ,1,1,1,0.07537783614444091,1,12.335,3,66,58,2,0,7,63.0
T8GpG8C0YzA,1,1,1,0.0,0,29.31893442622951,4,183,116,5,0,5,202.0
J_etjp83wwg,1,1,1,0.08144629623753681,0,54.259903660886316,6,692,239,4,0,112,174.0
lXO4jM_WFAA,1,0,0,0.0,0,0.0,0,0,0,0,0,0,291.0
tvfMOPTsU_0,1,1,1,0.0,0,17.219094202898553,8,207,137,2,0,21,125.0
haTApXretfg,1,1,1,0.0,0,14.2395,1,20,19,3,0,7,310.0
TuLYHWfoNGY,1,1,1,0.0,0,10.333678732614903,42,517,287,11,0,73,268.0
GZ2d0pmwy5Y,1,1,1,0.02917299829957891,0,48.775193370165745,4,362,264,7,0,28,68.0
FITRYrqMe7E,1,1,1,0.0,0,29.70148148148148,3,162,126,3,0,25,203.0
u1Z_FGM2LcA,1,1,0,0.0,0,22.83,1,32,29,2,0,4,348.0
YWxkS-9xdHQ,1,1,1,0.0,0,10.876315789473686,2,38,29,2,0,4,324.0
4WgptUirGng,1,0,1,0.0,0,0.0,0,0,0,0,0,0,120.0
RYDCqUWNvhU,1,1,1,0.05292561240249631,0,20.15036124794745,6,203,155,5,0,24,332.0
fJ2qK4OCXYs,1,1,0,0.0,0,12.0075,1,8,8,0,0,0,96.0
XzHIZdGXpjM,1,1,1,0.0,0,11.471201859229751,24,502,291,8,0,51,144.0
Kkfj5vDL7oI,1,1,1,0.08606629658238704,0,9.8845,5,80,62,2,0,12,268.0
kKAJKnnzSgY,1,1,1,0.0,0,23.637621359223296,4,103,65,1,0,12,220.0
BMF5zWlvjLU,1,1,0,0.19245008972987526,0,8.476363636363637,1,11,11,2,0,2,309.0
PXZSLnL912g,1,1,1,0.2182178902359924,0,12.0075,1,8,8,0,0,3,145.0
2gPUdfL4IWs,1,1,1,0.0,0,25.44576923076923,1,26,21,1,0,3,133.0
BMibtnqHDq4,1,1,1,0.0,0,19.114827586206893,2,29,24,1,0,2,116.0
oP2DFgZMkGs,1,1,1,0.0,0,28.18272727272727,1,33,31,3,0,2,154.0
2Lj1-FWyTQY,1,1,1,0.1091089451179962,0,23.478499999999997,2,60,40,0,0,1,140.0
MnOITHXlW6U,1,1,1,0.08032193289024989,1,11.656950354609933,3,47,43,2,0,5,126.0
plrT_MfuUP4,1,1,1,0.0,1,18.674090909090907,5,132,99,5,0,16,91.0
gpxx7UROmdU,1,1,1,0.0,0,0.0,0,0,0,0,0,0,273.0
0bJJGHcRRV4,1,1,1,0.06757373783994859,0,20.594460431654674,5,139,96,4,0,16,255.0
XCDOdVs9INE,1,1,1,0.06108472217815261,0,10.30898701298701,7,165,102,6,0,35,182.0
ou_MaMi-NKk,1,1,1,0.16222142113076254,0,6.998750000000001,4,72,50,3,0,12,352.0
D36lTpxzxOo,1,1,1,0.05,0,35.75822764227642,3,205,135,8,0,33,239.0
